iter	Passed	Remaining
1239	6158	556
1240	6167	551
1241	6174	546
1242	6181	542
1243	6188	537
1244	6196	532
1245	6204	527
1246	6213	523
1247	6222	518
1248	6228	513
1249	6235	508
1250	6242	503
1251	6249	499
1252	6256	494
1253	6262	489
1254	6272	484
1255	6277	479
1256	6283	474
1257	6291	470
1258	6297	465
1259	6304	460
1260	6309	455
1261	6314	450
1262	6319	445
1263	6325	440
1264	6330	435
1265	6336	430
1266	6341	425
1267	6346	420
1268	6351	415
1269	6357	410
1270	6365	405
1271	6371	400
1272	6376	395
1273	6381	390
1274	6389	385
1275	6395	380
1276	6400	375
1277	6412	371
1278	6424	366
1279	6437	362
1280	6445	357
1281	6452	352
1282	6458	347
1283	6464	342
1284	6472	337
1285	6480	332
1286	6489	327
1287	6498	322
1288	6504	317
1289	6510	312
1290	6517	307
1291	6526	303
1292	6534	298
1293	6540	293
1294	6547	288
1295	6557	283
1296	6565	278
1297	6572	273
1298	6578	268
1299	6585	263
1300	6592	258
1301	6599	253
1302	6605	248
1303	6613	243
1304	6620	238
1305	6628	233
1306	6633	228
1307	6640	223
1308	6648	218
1309	6655	213
1310	6662	208
1311	6667	203
1312	6672	198
1313	6678	193
1314	6685	188
1315	6691	183
1316	6696	177
1317	6701	172
1318	6707	167
1319	6712	162
1320	6717	157
1321	6724	152
1322	6730	147
1323	6735	142
1324	6741	137
1325	6747	132
1326	6752	127
1327	6758	122
1328	6764	117
1329	6771	112
1330	6778	106
1331	6784	101
1332	6790	96
1333	6795	91
1334	6802	86
1335	6814	81
1336	6820	76
1337	6829	71
1338	6835	66
1339	6841	61
1340	6847	56
1341	6852	51
1342	6860	45
1343	6867	40
1344	6875	35
1345	6881	30
1346	6889	25
1347	6895	20
1348	6900	15
1349	6906	10
1350	6913	5
1351	6918	0
